SENADOR;UF;PARTIDO;VOTO
Alessandro Vieira;SE;CIDADANIA;Sim
Eliziane Gama;MA;CIDADANIA;Sim
Jorge Kajuru;GO;CIDADANIA;Não
Chico Rodrigues;RR;DEM;Sim
Davi Alcolumbre;AP;DEM;Presidente (art. 51 RISF)
Jayme Campos;MT;DEM;Sim
Marcos Rogério;RO;DEM;Sim
Maria do Carmo Alves;SE;DEM;Sim
Rodrigo Pacheco;MG;DEM;Sim
Confúcio Moura;RO;MDB;Sim
Dário Berger;SC;MDB;Sim
Eduardo Braga;AM;MDB;Sim
Eduardo Gomes;TO;MDB;Não
Fernando Bezerra Coelho;PE;MDB;Não
Jader Barbalho;PA;MDB;Sim
Jarbas Vasconcelos;PE;MDB;Sim
José Maranhão;PB;MDB;Sim
Luiz Carlos do Carmo;GO;MDB;Não
Marcelo Castro;PI;MDB;Sim
Marcio Bittar;AC;MDB;Não
Renan Calheiros;AL;MDB;Abstenção
Simone Tebet;MS;MDB;Sim
Acir Gurgacz;RO;PDT;Sim
Cid Gomes;CE;PDT;Sim
Weverton;MA;PDT;Sim
Jorginho Mello;SC;PL;Não
Wellington Fagundes;MT;PL;Sim
Alvaro Dias;PR;PODEMOS;Não
Eduardo Girão;CE;PODEMOS;Não
Elmano Férrer;PI;PODEMOS;Não
Lasier Martins;RS;PODEMOS;Não
Marcos do Val;ES;PODEMOS;Não
Oriovisto Guimarães;PR;PODEMOS;Não
Reguffe;DF;PODEMOS;Não
Romário;RJ;PODEMOS;Não
Rose de Freitas;ES;PODEMOS;Sim
Styvenson Valentim;RN;PODEMOS;Não
Ciro Nogueira;PI;PP;Sim
Daniella Ribeiro;PB;PP;Sim
Esperidião Amin;SC;PP;Não
Kátia Abreu;TO;PP;Sim
Luis Carlos Heinze;RS;PP;Não
Mailza Gomes;AC;PP;Não
Fernando Collor;AL;PROS;Não
Telmário Mota;RR;PROS;Sim
Zenaide Maia;RN;PROS;Não
Leila Barros;DF;PSB;Não
Veneziano Vital do Rêgo;PB;PSB;Sim
Zequinha Marinho;PA;PSC;Não
Angelo Coronel;BA;PSD;Sim
Antonio Anastasia;MG;PSD;Sim
Arolde de Oliveira;RJ;PSD;Não
Carlos Fávaro;MT;PSD;Sim
Carlos Viana;MG;PSD;Não
Irajá;TO;PSD;Sim
Lucas Barreto;AP;PSD;Sim
Nelsinho Trad;MS;PSD;Sim
Omar Aziz;AM;PSD;Sim
Otto Alencar;BA;PSD;Sim
Sérgio Petecão;AC;PSD;Sim
Vanderlan Cardoso;GO;PSD;Não
Izalci Lucas;DF;PSDB;Não
José Serra;SP;PSDB;Abstenção
Mara Gabrilli;SP;PSDB;LS
Plínio Valério;AM;PSDB;Não
Roberto Rocha;MA;PSDB;Não
Rodrigo Cunha;AL;PSDB;Não
Tasso Jereissati;CE;PSDB;Sim
Major Olimpio;SP;PSL;Não
Soraya Thronicke;MS;PSL;Não
Humberto Costa;PE;PT;Sim
Jaques Wagner;BA;PT;Sim
Jean Paul Prates;RN;PT;Sim
Paulo Paim;RS;PT;Sim
Paulo Rocha;PA;PT;Sim
Rogério Carvalho;SE;PT;Sim
Fabiano Contarato;ES;REDE;Sim
Flávio Arns;PR;REDE;AP
Randolfe Rodrigues;AP;REDE;Sim
Mecias de Jesus;RR;REPUBLICANOS;Sim
Flávio Bolsonaro;RJ;S/Partido;Não
