Identificação;Data de apresentação;Emenda;Autor;Partido
EMENDA 1 PLEN - PL 2630/2020;01/06/2020;EMENDA 1;Senador Roberto Rocha (PSDB/MA);PSDB
EMENDA 2 PLEN - PL 2630/2020;01/06/2020;EMENDA 2;Senadora Rose de Freitas (PODEMOS/ES);PODEMOS
EMENDA 3 PLEN - PL 2630/2020;01/06/2020;EMENDA 3;Senadora Rose de Freitas (PODEMOS/ES);PODEMOS
EMENDA 4 PLEN - PL 2630/2020;01/06/2020;EMENDA 4;Senadora Rose de Freitas (PODEMOS/ES);PODEMOS
EMENDA 5 PLEN - PL 2630/2020;01/06/2020;EMENDA 5;Senadora Rose de Freitas (PODEMOS/ES);PODEMOS
EMENDA 6 PLEN - PL 2630/2020;01/06/2020;EMENDA 6;Senador Alvaro Dias (PODEMOS/PR);PODEMOS
EMENDA 7 PLEN - PL 2630/2020;01/06/2020;EMENDA 7;Senador Alvaro Dias (PODEMOS/PR);PODEMOS
EMENDA 8 PLEN - PL 2630/2020;01/06/2020;EMENDA 8;Senador Paulo Paim (PT/RS);PT
EMENDA 9 PLEN - PL 2630/2020;01/06/2020;EMENDA 9;Senador Paulo Paim (PT/RS);PT
EMENDA 10 PLEN - PL 2630/2020;01/06/2020;EMENDA 10;Senador Paulo Paim (PT/RS);PT
EMENDA 11 PLEN - PL 2630/2020;01/06/2020;EMENDA 11;Senador Paulo Paim (PT/RS);PT
EMENDA 12 PLEN - PL 2630/2020;01/06/2020;EMENDA 12;Senadora Rose de Freitas (PODEMOS/ES);PODEMOS
EMENDA 13 PLEN - PL 2630/2020;01/06/2020;EMENDA 13;Senador Antonio Anastasia (PSD/MG);PSD
EMENDA 14 PLEN - PL 2630/2020;01/06/2020;EMENDA 14;Senador Nelsinho Trad (PSD/MS);PSD
EMENDA 15 PLEN - PL 2630/2020;01/06/2020;EMENDA 15;Senador Nelsinho Trad (PSD/MS);PSD
EMENDA 16 PLEN - PL 2630/2020;01/06/2020;EMENDA 16;Senador Nelsinho Trad (PSD/MS);PSD
EMENDA 17 PLEN - PL 2630/2020;01/06/2020;EMENDA 17;Senador Nelsinho Trad (PSD/MS);PSD
EMENDA 18 PLEN - PL 2630/2020;01/06/2020;EMENDA 18;Senador Nelsinho Trad (PSD/MS);PSD
EMENDA 19 PLEN - PL 2630/2020;01/06/2020;EMENDA 19;Senador Nelsinho Trad (PSD/MS);PSD
EMENDA 20 PLEN - PL 2630/2020;01/06/2020;EMENDA 20;Senador Nelsinho Trad (PSD/MS);PSD
EMENDA 21 PLEN - PL 2630/2020;02/06/2020;EMENDA 21;Senador Randolfe Rodrigues (REDE/AP);REDE
EMENDA 22 PLEN - PL 2630/2020;02/06/2020;EMENDA 22;Senador Nelsinho Trad (PSD/MS);PSD
EMENDA 23 PLEN - PL 2630/2020;02/06/2020;EMENDA 23;Senador José Serra (PSDB/SP);PSDB
EMENDA 24 PLEN - PL 2630/2020;02/06/2020;EMENDA 24;Senador Randolfe Rodrigues (REDE/AP);REDE
EMENDA 25 PLEN - PL 2630/2020;02/06/2020;EMENDA 25;Senador Randolfe Rodrigues (REDE/AP);REDE
EMENDA 26 PLEN - PL 2630/2020;02/06/2020;EMENDA 26;Senador Jean Paul Prates (PT/RN);PT
EMENDA 27 PLEN - PL 2630/2020;02/06/2020;EMENDA 27;Senadora Eliziane Gama (CIDADANIA/MA);CIDADANIA
EMENDA 28 PLEN - PL 2630/2020;02/06/2020;EMENDA 28;Senador Vanderlan Cardoso (PSD/GO);PSD
EMENDA 29 PLEN - PL 2630/2020;02/06/2020;EMENDA 29;Senador Styvenson Valentim (PODEMOS/RN);PODEMOS
EMENDA 30 PLEN - PL 2630/2020;02/06/2020;EMENDA 30;Senador Vanderlan Cardoso (PSD/GO);PSD
EMENDA 31 PLEN - PL 2630/2020;02/06/2020;EMENDA 31;Senador Styvenson Valentim (PODEMOS/RN);PODEMOS
EMENDA 32 PLEN - PL 2630/2020;02/06/2020;EMENDA 32;Senador Styvenson Valentim (PODEMOS/RN);PODEMOS
EMENDA 33 PLEN - PL 2630/2020;02/06/2020;EMENDA 33;Senador Rogério Carvalho (PT/SE);PT
EMENDA 34 PLEN - PL 2630/2020;02/06/2020;EMENDA 34;Senador Rogério Carvalho (PT/SE);PT
EMENDA 35 PLEN - PL 2630/2020;02/06/2020;EMENDA 35;Senador Rogério Carvalho (PT/SE);PT
EMENDA 36 PLEN - PL 2630/2020;02/06/2020;EMENDA 36;Senador Fabiano Contarato (REDE/ES);REDE
EMENDA 37 PLEN - PL 2630/2020;02/06/2020;EMENDA 37;Senador Fabiano Contarato (REDE/ES);REDE
EMENDA 38 PLEN - PL 2630/2020;02/06/2020;EMENDA 38;Senador Fabiano Contarato (REDE/ES);REDE
EMENDA 39 PLEN - PL 2630/2020;02/06/2020;EMENDA 39;Senador Fabiano Contarato (REDE/ES);REDE
EMENDA 40 PLEN - PL 2630/2020;02/06/2020;EMENDA 40;Senador Jean Paul Prates (PT/RN);PT
EMENDA 41 PLEN - PL 2630/2020;02/06/2020;EMENDA 41;Senador Jean Paul Prates (PT/RN);PT
EMENDA 42 PLEN - PL 2630/2020;02/06/2020;EMENDA 42;Senador Jean Paul Prates (PT/RN);PT
