Fake_news;id;uri;siglaTipo;numero;ano;codTipo;descricaoTipo;ementa;ementaDetalhada;keywords;dataApresentacao;uriOrgaoNumerador;uriPropAnterior;uriPropPrincipal;uriPropPosterior;urlInteiroTeor;urnFinal;ultimoStatus_dataHora;ultimoStatus_sequencia;ultimoStatus_uriRelator;ultimoStatus_idOrgao;ultimoStatus_siglaOrgao;ultimoStatus_uriOrgao;ultimoStatus_regime;ultimoStatus_descricaoTramitacao;ultimoStatus_idTipoTramitacao;ultimoStatus_descricaoSituacao;ultimoStatus_idSituacao;ultimoStatus_despacho;ultimoStatus_url;Fake_news;OBS
1;18563;https://dadosabertos.camara.leg.br/api/v2/proposicoes/18563;PL;2741;1992;139;Projeto de Lei;Dispõe sobre a liberdade de informação através dos meios de comuncação social;Revoga a Lei de Imprensa  - lei nº 5.250 de 1967.;"Revogação, Lei de Imprensa, extinção, censura prévia, regulamentação, liberdade de imprensa, manifestação, pensamento, meios de comunicação, comunicação social, jornal, imprensa, revista, rádio, televisão, agência de notícias, exigência, assinatura, direitos e garantias fundamentais, cidadão, poder público, sigilo, preservação, fonte, informações, pluralidade, opinião, dispensa, concorrência, autonomia, inviolabilidade, 
arquivo, direito de resposta, ofensa, privacidade, honra.  
_ Normas, organização, empresa, comunicação social, radiodifusão, emissora, rádio, televisão, empresa jornalística, propriedade, brasileiros, capital social, responsabilidade, editoração, responsabilidade civil, responsabilidade penal, indenização, danos, penalidade, prestação de serviço à comunidade, multa, suspensão, exercício profissional, caracterização, crime, atividade, informação, liberdade de imprensa, danos, máquina, gráfica, banca de jornal, venda, impresso, violência, cobrança, vantagens, publicação, divulgação, notícia falsa, calúnia, difamação, injúria, exceção da verdade, prescrição, extinção da punibilidade, retratação, ação penal, processo penal, julgamento, pedido, explicação, direito de resposta, denúncia, queixa.  
_ Fixação, prazo, empresa, comunicação social, manutenção, arquivo.";1992-04-15T00:00:00Z;https://dadosabertos.camara.leg.br/api/v2/orgaos/180;NA;https://dadosabertos.camara.leg.br/api/v2/proposicoes/16730;NA;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=15524;NA;2015-10-20T00:00:00Z;5;NA;4;MESA;https://dadosabertos.camara.leg.br/api/v2/orgaos/4;Urgência (Art. 155, RICD);Arquivamento;502;Arquivada;923;Declarado prejudicado em face da aprovação do Projeto de Lei n. 6.446/2013, apensado. (Sessão Deliberativa Extraordinária de 20/10/2015 – 20:01).;NA;1;"Art. 28 . Divulgar notícias falsas que provoquem perturbação da ordem econômico-financeira
[ANACRONISMO?]"
0;383428;https://dadosabertos.camara.leg.br/api/v2/proposicoes/383428;PL;2808;2008;139;Projeto de Lei;Obriga a veiculação de publicidade de saúde pública pelas empresas de transportes coletivos urbanos.;NA;Obrigatoriedade, empresa de transportes, transporte coletivo urbano, ônibus, divulgação, propaganda, publicidade, anúncio, cartaz, prevenção, doença endêmica, doença sexualmente transmissível, (AIDS), combate, fumo, elaboração, Ministério da Saúde, campanha educativa, saúde pública.;2008-02-14T15:14:55Z;https://dadosabertos.camara.leg.br/api/v2/orgaos/180;NA;NA;NA;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=538005;NA;2019-02-21T11:35:00Z;123;https://dadosabertos.camara.leg.br/api/v2/deputados/141383;180;PLEN;https://dadosabertos.camara.leg.br/api/v2/orgaos/180;Ordinária (Art. 151, III, RICD);Desarquivamento a Pedido;640;Pronta para Pauta;924;Devido a desarquivamento desta proposição em requerimento anterior, foi declarada prejudicada a solicitação de desarquivamento constante do REQ-108/2019.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1712628;0;NA
1;428815;https://dadosabertos.camara.leg.br/api/v2/proposicoes/428815;PL;4978;2009;139;Projeto de Lei;Altera dispositivos da Lei nº 4.737, de 15 de julho de 1965 - Código Eleitoral - e dá outras providências;"Determina prazo máximo para o julgamento de processo penal eleitoral que possa resultar em perda de mandato; organiza os dispositivos que tratam dos crimes eleitorais.
Revoga dispositivos das Leis nºs 9.096 e 9.100, de 1995;  e 9.504, de 1997.";Alteração, Código Eleitoral,  tipicidade penal, Crime Eleitoral, exposição, ameaça, riscos, perigo, eleição, Alistamento Eleitoral, Propaganda Eleitoral, Campanha Eleitoral, Sufrágio Universal, Votação, captação de sufrágio, Apuração, Contagem, Voto, eleições, Administração, Justiça Eleitoral, destruição, material, ilegalidade, doação, definição, membros, servidor, serviço eleitoral, penalidade, pena de reclusão, pena de detenção, pena restritiva de direitos, multa, perda de bens, perdimento de bens, destinação, Fundo Penitenciário Nacional (FUNPEN), determinação, juiz eleitoral, cálculo, cominação da pena, Código Penal, aplicação, suspensão, atividade, diretório, cassação, registro, candidatura, perda do mandato, candidato eleito, definição, crime, utilização, meios de comunicação, meio eletrônico, (Internet), normas, procedimento, processo penal, processo eleitoral, prazo máximo, duração, processo judicial, perda,  cassação, mandato eletivo.;2009-04-01T18:01:03Z;https://dadosabertos.camara.leg.br/api/v2/orgaos/180;NA;NA;NA;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=643824;NA;2015-09-22T00:00:00Z;35;https://dadosabertos.camara.leg.br/api/v2/deputados/74650;4;MESA;https://dadosabertos.camara.leg.br/api/v2/orgaos/4;Prioridade (Art. 151, II, RICD);Devolução à CCP;1010;Arquivada;923;Devolução à CCP;NA;0;NA
0;796765;https://dadosabertos.camara.leg.br/api/v2/proposicoes/796765;EMR;2;0;257;Emenda de Relator;PROJETO DE LEI Nº 816, DE 2007 (Apensado ao PL nº 434, de 1999) Dispõe sobre a oferta de outras opções no combate as Doenças Sexualmente Transmissíveis - DST e AIDS, além do uso dos preservativos, como forma de aumentar a eficiência dos métodos preventivos e resultados esperados. EMENDA DE REDAÇÃO Nº;NA;NA;2014-11-27T11:39:00Z;https://dadosabertos.camara.leg.br/api/v2/orgaos/2003;NA;https://dadosabertos.camara.leg.br/api/v2/proposicoes/349189;NA;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1289384;NA;2014-11-27T11:39:00Z;1;NA;NA;NA;NA;NA;Apresentação de Proposição;100;NA;NA;Apresentação da Emenda de Relator n. 2 CCJC, pelo Deputado Onofre Santo Agostini (PSD-SC).;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1289384;0;NA
0;2149522;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2149522;EMR;3;0;257;Emenda de Relator;"EMENDA Nº 
Dê ao art. 2º do projeto a seguinte redação:
""Art. 2º Esta Lei entra em vigor na data de sua publicação.""";NA;NA;2017-08-29T16:06:00Z;https://dadosabertos.camara.leg.br/api/v2/orgaos/2003;NA;https://dadosabertos.camara.leg.br/api/v2/proposicoes/349189;NA;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1592374;NA;2017-08-29T16:06:00Z;1;NA;NA;NA;NA;NA;Apresentação de Proposição;100;NA;NA;Apresentação da Emenda de Relator n. 3 CCJC, pelo Deputado Pastor Eurico (PHS-PE).;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1592374;0;NA
1;2203521;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2203521;PL;2917;2019;139;Projeto de Lei;Altera o Código Penal, instituído pelo Decreto-Lei no 2.848, de 7 de dezembro de 1940 e a Lei no 13.188, de 11 de novembro de 2015, que dispõe sobre o direito de resposta, para tratar da retratação sobre crimes contra a honra quando da veiculação de notícias falsas na internet.;NA;Alteração, Código Penal, Lei Federal, direito de resposta, retratação, crime contra a honra, veiculação, notícia falsa (fake news), equiparação, mídia, internet, rede social, utilização, equivalencia, recursos financeiros, prática, crime.;2019-05-15T17:40:41Z;https://dadosabertos.camara.leg.br/api/v2/orgaos/180;NA;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2076885;NA;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1748140;NA;2019-11-20T11:25:00Z;18;NA;2003;CCJC;https://dadosabertos.camara.leg.br/api/v2/orgaos/2003;Ordinária (Art. 151, III, RICD);Recebimento;500;Tramitando em Conjunto;925;Recebimento pela CCJC, apensado ao PL-4336/2016;NA;1;Altera o Código Penal, instituído pelo Decreto-Lei no 2.848, de 7 de dezembro de 1940 e a Lei no 13.188, de 11 de novembro de 2015, que dispõe sobre o direito de resposta, para tratar da retratação sobre crimes contra a honra quando da veiculação de notícias falsas na internet.
1;2207075;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2207075;PL;3389;2019;139;Projeto de Lei;Acrescenta os §§ 5º e 6º ao art. 10 da Lei nº 12.965, de 23 de abril de 2014, para estabelecer a obrigatoriedade de fornecimento do número de inscrição no Cadastro de Pessoas Físicas (CPF) ou Cadastro Nacional de Pessoa Jurídica (CNPJ) para cadastro em aplicações de internet.;NA;Alteração, Marco Civil da Internet, obrigatoriedade, Provedor de acesso, Internet, exigência, Cadastro de Pessoas Físicas (CPF), Cadastro Nacional de Pessoa Jurídica (CNPJ), Usuário de serviços, Software aplicativo.;2019-06-06T16:31:19Z;https://dadosabertos.camara.leg.br/api/v2/orgaos/180;NA;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2256735;NA;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1761571;NA;2021-06-02T22:22:00Z;41;https://dadosabertos.camara.leg.br/api/v2/deputados/204372;186;CCP;https://dadosabertos.camara.leg.br/api/v2/orgaos/186;Prioridade (Art. 151, II, RICD);Despacho de Apensação;129;Tramitando em Conjunto;925;Deferido o Requerimento n. 1.834/2020, conforme despacho do seguinte teor: “Defiro o Requerimento n. 1.834/2020, com fundamento no art. 142, caput, do Regimento Interno da Câmara dos Deputados (RICD). Apense-se o Projeto de Lei n. 3.389/2019, que encabeça o conjunto de proposições com as quais tramita o Projeto de Lei n. 517/2020, ao Projeto de Lei n. 2.630/2020, oriundo do Senado Federal, na forma do art. 143, II, a, do RICD. Publique-se.”;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2022641;0;NA
1;2236378;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2236378;PL;45;2020;139;Projeto de Lei;Acrescenta o inciso VIII ao art. 80 da Lei 13.105, de 2015 - Código de Processo Civil, que dispõe sobre litigância de má-fé.;NA;Alteração, Código de Processo Civil (2015), Litigância de má-fé, Parte (processo civil), utilização, informação falsa, mídia.;2020-02-04T14:51:38Z;https://dadosabertos.camara.leg.br/api/v2/orgaos/180;NA;NA;NA;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1854161;NA;2020-04-13T21:28:00Z;16;NA;2003;CCJC;https://dadosabertos.camara.leg.br/api/v2/orgaos/2003;Ordinária (Art. 151, III, RICD);Apresentação de Requerimento;194;Aguardando Designação de Relator;907;"Apresentação do Requerimento n. 660/2020, pelo Deputado Idilvan Alencar  (PDT/CE), que ""Requer o Apensamento do Projeto de Lei 345, de 2020, ao Projeto de Lei 873, de 2020, por tratarem de matérias correlatas. "".";http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1880832;0;"VIII – valer-se de matérias ou informações falsas divulgadas 
pelos meios de comunicação. ”"
1;2253002;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2253002;PL;2763;2020;139;Projeto de Lei;Altera a Lei nº 12.965, de 23 de abril de 2014, obrigando as empresas responsáveis pelo provimento de serviços de redes sociais na internet a condicionarem o acesso a essas aplicações ao cadastramento prévio do CPF ou do CNPJ do usuário.;NA;Alteração, Marco Civil da Internet, Provedor de aplicações, Provedor de acesso, identificação, Cadastro de Pessoas Físicas (CPF), Cadastro Nacional de Pessoa Jurídica (CNPJ), acesso,  usuário de serviços,Rede social digital, internet.;2020-05-19T17:20:00Z;https://dadosabertos.camara.leg.br/api/v2/orgaos/180;NA;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2207075;NA;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1895273;NA;2021-03-03T16:56:00Z;15;NA;186;CCP;https://dadosabertos.camara.leg.br/api/v2/orgaos/186;Prioridade (Art. 151, II, RICD);Recebimento;500;Tramitando em Conjunto;925;Recebimento pela CCTCI.;NA;0;NA
1;2259207;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2259207;PL;4046;2020;139;Projeto de Lei;Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal) para acrescentar meio de comunicação de massa ou sistema de informática ou telemática para causar dano à honra ou imagem como agravante de pena.;NA;Alteração, Código Penal, agravação penal, crime contra a honra, calúnia, difamação, injúria, internet, sistema de informação, telemática, notícia falsa (fake news).;2020-08-04T09:12:00Z;https://dadosabertos.camara.leg.br/api/v2/orgaos/180;NA;https://dadosabertos.camara.leg.br/api/v2/proposicoes/946034;NA;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1918648;NA;2020-12-16T00:00:00Z;14;NA;180;PLEN;https://dadosabertos.camara.leg.br/api/v2/orgaos/180;Ordinária (Art. 151, III, RICD);Publicação de Proposição;604;Tramitando em Conjunto;925;Encaminhada à publicação. Publicação Inicial em avulso e no DCD de 17/12/20 PÅG 576.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1970866;0;§ 3º Se o crime é cometido com o uso da rede mundial de computadores, sistema de informação ou telemática que facilite o compartilhamento de conteúdo calunioso, injurioso ou difamatório, aplica-se a pena em dobro.” (NR).
