id;uri;siglaTipo;numero;ano;ementa;urlInteiroTeor;Fake_news;OBS
302956;https://dadosabertos.camara.leg.br/api/v2/proposicoes/302956;PL;6035;2005;Estabelece sanções administrativas a hipermercados, supermercados e congêneres que realizem a comercialização de produtos nas condições que especifica.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=346640;;
340005;https://dadosabertos.camara.leg.br/api/v2/proposicoes/340005;PL;31;2007;Dispõe sobre o parcelamento do solo para fins urbanos e sobre a regularização fundiária sustentável de áreas urbanas, e dá outras providências.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=433779;;
2293346;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2293346;SBT;1;0;"Altera a Lei nº 13.979, de 6 de fevereiro de 2020, que ""dispõe sobre as medidas para enfrentamento da emergência de saúde pública de importância internacional decorrente do coronavírus responsável pelo surto de 2019"", para dispor sobre o registro e a disponibilização de informações de interesse epidemiológico relativas aos pacientes com suspeita ou confirmação de infecção pelo coronavírus atendidos nos serviços de saúde públicos e privados.
Autor: SENADO FEDERAL - PAULO PAIM";http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2053504;;
2253807;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2253807;PL;2927;2020;Institui a Lei Brasileira de Liberdade, Responsabilidade e Transparência na Internet.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1897975;;
2261031;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2261031;PL;4365;2020;Altera a Lei nº 12.764, de 27 de dezembro de 2012, que institui a Política Nacional de Proteção dos Direitos da Pessoa com Transtorno do Espectro Autista, para especificar a terapia nutricional.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1925425;;
491620;https://dadosabertos.camara.leg.br/api/v2/proposicoes/491620;PL;312;2011;Altera o art. 8º da Lei nº 9.250, de 26 de dezembro de 1995, para incluir as  despesas com aparelhos de audição entre as deduções permitidas para efeito da apuração da base de cálculo do Imposto de Renda das Pessoas Físicas.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=838540;;
2168438;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2168438;PL;9626;2018;Altera os artigos 323, 324, 325, 326 e 327 e acrescenta o artigo 356-A à Lei n.º 4.737, de 15 de julho de 1965 - Código Eleitoral, bem como altera os §§ 1.º e 2.º do artigo 57-H da Lei n.º 9.504, de 30 de setembro de 1997 - Lei das Eleições e acrescenta § 3.º ao mesmo dispositivo legal, para agravar as penas dos crimes eleitorais praticados por meio de veículos de comunicação.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1641600;;
339981;https://dadosabertos.camara.leg.br/api/v2/proposicoes/339981;PL;20;2007;Dispõe sobre o parcelamento do solo para fins urbanos e sobre a regularização fundiária sustentável de áreas urbanas, e dá outras providências.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=433737;;
2190763;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190763;PL;241;2019;Altera o Decreto-Lei n. 2.848, de 7 de dezembro de 1940 - Código Penal, para tipificar o crime de criação e propagação de notícia inverídica.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1707048;;
2288847;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2288847;PL;2390;2021;Acrescenta-se o inc. XIV ao art. 7 e §§1º, 2º e 3º ao art. 20 da Lei nº 12.965, de 23 de abril de 2014 – Marco Civil da Internet, que “garante o direito de atualização de conteúdo e informações ao usuário por provedores de aplicações de internet”.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2036493;;
