id;uri;siglaTipo;numero;ano;codTipo;descricaoTipo;ementa;ementaDetalhada;keywords;dataApresentacao;uriOrgaoNumerador;uriPropAnterior;uriPropPrincipal;uriPropPosterior;urlInteiroTeor;urnFinal;ultimoStatus_dataHora;ultimoStatus_sequencia;ultimoStatus_uriRelator;ultimoStatus_idOrgao;ultimoStatus_siglaOrgao;ultimoStatus_uriOrgao;ultimoStatus_regime;ultimoStatus_descricaoTramitacao;ultimoStatus_idTipoTramitacao;ultimoStatus_descricaoSituacao;ultimoStatus_idSituacao;ultimoStatus_despacho;ultimoStatus_url;Fake_news;OBS
18553;https://dadosabertos.camara.leg.br/api/v2/proposicoes/18553;PL;2735;1992;139;Projeto de Lei;Regula a liberdade de manifestação do pensamento e da informação e dá outras providências;Regulamenta o disposto no art. 220 e art. 221 da Constituição Federal de 1988.;"Regulamentação, Constituição Federal, liberdade de imprensa, liberdade de pensamento, liberdade de expressão, criação, opinião, divulgação, informação, meios de comunicação, jornal, radio, televisão, restrição, censura, prioridade, concessão, radiodifusão, poder público, educação, cultura, ciência e tecnologia, fundação pública, teleducação.  
_Proibição, monopólio, oligopólio, meios de comunicação, imprensa, rádio, televisão, propriedade, empresa jornalística, emissora, radiodifusão, negociação, capital social, bolsa de valores, registro civil, agência de notícias.  
_Normas, regionalização, programa cultural, atividade artística, filme nacional, filme documentário, programação, emissora, televisão, rádio, direitos, horário, comunidade, representação, instituição cultural, entidades sindicais, fixação, percentual, produção, local, ambito regional, ambito nacional.  
_Normas, meios de comunicação, atendimento, público, proibição, discriminação, remuneração, transmissão, restrição, publicidade, propaganda, ofensa, moral, direitos, cidadania.  
_Definição, direitos, garantia, exercício profissional, jornalista, repórter, radialista, artista, sigilo, fonte, informação, assinatura, organização, competência, conselho editorial.  
_Definição, responsabilidade, responsabilidade civil, ato ilícito, exercício, liberdade de expressão, reparação, indenização, danos morais, danos materiais, calúnia, injúria, difamação, notícia falsa, incitamento, depredação, meio ambiente, propaganda, produto, tóxico, drogas, psicotrópico, dependencia física, dependência psíquica, inexistência, advertência, discriminação, sexo, cor, raça, religião, grupo étnico, violação, privacidade, fixação, penalidade, crime de imprensa, direito de resposta, retratação, procedimento especial, justiça, ação penal.  
_Fixação, prazo, obrigatoriedade, empresa, radiodifusão, arquivo, texto, jornalismo, debate, entrevista.  
_Revogação, Lei de Imprensa, concessão, anistia, crime de imprensa.";1992-04-09T00:00:00Z;https://dadosabertos.camara.leg.br/api/v2/orgaos/180;"NA";https://dadosabertos.camara.leg.br/api/v2/proposicoes/16730;"NA";http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=50697;"NA";2015-10-20T00:00:00Z;4;"NA";4;MESA;https://dadosabertos.camara.leg.br/api/v2/orgaos/4;Urgência (Art. 155, RICD);Arquivamento;502;Arquivada;923;Declarado prejudicado em face da aprovação do Projeto de Lei n. 6.446/2013, apensado. (Sessão Deliberativa Extraordinária de 20/10/2015 – 20:01).;"NA";1;"Art .. 27 Divulgar, notícias falsas ou relatos truncados provocando
[ANACRONISMO?]"
18563;https://dadosabertos.camara.leg.br/api/v2/proposicoes/18563;PL;2741;1992;139;Projeto de Lei;Dispõe sobre a liberdade de informação através dos meios de comuncação social;Revoga a Lei de Imprensa  - lei nº 5.250 de 1967.;"Revogação, Lei de Imprensa, extinção, censura prévia, regulamentação, liberdade de imprensa, manifestação, pensamento, meios de comunicação, comunicação social, jornal, imprensa, revista, rádio, televisão, agência de notícias, exigência, assinatura, direitos e garantias fundamentais, cidadão, poder público, sigilo, preservação, fonte, informações, pluralidade, opinião, dispensa, concorrência, autonomia, inviolabilidade, 
arquivo, direito de resposta, ofensa, privacidade, honra.  
_ Normas, organização, empresa, comunicação social, radiodifusão, emissora, rádio, televisão, empresa jornalística, propriedade, brasileiros, capital social, responsabilidade, editoração, responsabilidade civil, responsabilidade penal, indenização, danos, penalidade, prestação de serviço à comunidade, multa, suspensão, exercício profissional, caracterização, crime, atividade, informação, liberdade de imprensa, danos, máquina, gráfica, banca de jornal, venda, impresso, violência, cobrança, vantagens, publicação, divulgação, notícia falsa, calúnia, difamação, injúria, exceção da verdade, prescrição, extinção da punibilidade, retratação, ação penal, processo penal, julgamento, pedido, explicação, direito de resposta, denúncia, queixa.  
_ Fixação, prazo, empresa, comunicação social, manutenção, arquivo.";1992-04-15T00:00:00Z;https://dadosabertos.camara.leg.br/api/v2/orgaos/180;"NA";https://dadosabertos.camara.leg.br/api/v2/proposicoes/16730;"NA";http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=15524;"NA";2015-10-20T00:00:00Z;5;"NA";4;MESA;https://dadosabertos.camara.leg.br/api/v2/orgaos/4;Urgência (Art. 155, RICD);Arquivamento;502;Arquivada;923;Declarado prejudicado em face da aprovação do Projeto de Lei n. 6.446/2013, apensado. (Sessão Deliberativa Extraordinária de 20/10/2015 – 20:01).;"NA";1;"Art. 28 . Divulgar notícias falsas que provoquem perturbação da ordem econômico-financeira
[ANACRONISMO?]"
428815;https://dadosabertos.camara.leg.br/api/v2/proposicoes/428815;PL;4978;2009;139;Projeto de Lei;Altera dispositivos da Lei nº 4.737, de 15 de julho de 1965 - Código Eleitoral - e dá outras providências;"Determina prazo máximo para o julgamento de processo penal eleitoral que possa resultar em perda de mandato; organiza os dispositivos que tratam dos crimes eleitorais.
Revoga dispositivos das Leis nºs 9.096 e 9.100, de 1995;  e 9.504, de 1997.";Alteração, Código Eleitoral,  tipicidade penal, Crime Eleitoral, exposição, ameaça, riscos, perigo, eleição, Alistamento Eleitoral, Propaganda Eleitoral, Campanha Eleitoral, Sufrágio Universal, Votação, captação de sufrágio, Apuração, Contagem, Voto, eleições, Administração, Justiça Eleitoral, destruição, material, ilegalidade, doação, definição, membros, servidor, serviço eleitoral, penalidade, pena de reclusão, pena de detenção, pena restritiva de direitos, multa, perda de bens, perdimento de bens, destinação, Fundo Penitenciário Nacional (FUNPEN), determinação, juiz eleitoral, cálculo, cominação da pena, Código Penal, aplicação, suspensão, atividade, diretório, cassação, registro, candidatura, perda do mandato, candidato eleito, definição, crime, utilização, meios de comunicação, meio eletrônico, (Internet), normas, procedimento, processo penal, processo eleitoral, prazo máximo, duração, processo judicial, perda,  cassação, mandato eletivo.;2009-04-01T18:01:03Z;https://dadosabertos.camara.leg.br/api/v2/orgaos/180;"NA";"NA";"NA";http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=643824;"NA";2015-09-22T00:00:00Z;35;https://dadosabertos.camara.leg.br/api/v2/deputados/74650;4;MESA;https://dadosabertos.camara.leg.br/api/v2/orgaos/4;Prioridade (Art. 151, II, RICD);Devolução à CCP;1010;Arquivada;923;Devolução à CCP;"NA";0;NA
2122678;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2122678;PL;6812;2017;139;Projeto de Lei;Dispõe sobre a tipificação criminal da divulgação ou compartilhamento de informação falsa ou incompleta na rede mundial de computadores e dá outras providências.;"NA";Tipicidade penal, divulgação, compartilhamento, Internet, comunicação falsa, prejudicialidade, contra, pessoa física, pessoa jurídica, pena.;2017-02-02T18:41:00Z;https://dadosabertos.camara.leg.br/api/v2/orgaos/180;"NA";https://dadosabertos.camara.leg.br/api/v2/proposicoes/2256735;"NA";http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1522471;"NA";2021-07-08T17:09:00Z;97;https://dadosabertos.camara.leg.br/api/v2/deputados/204571;186;CCP;https://dadosabertos.camara.leg.br/api/v2/orgaos/186;Prioridade (Art. 151, II, RICD);Notificação de Apensação;504;Tramitando em Conjunto;925;Apense-se a este(a) o(a) PL-2196/2020.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1894477;1;"Art. 1º Constitui crime divulgar ou compartilhar, por 
qualquer meio, na rede mundial de computadores, informação falsa 
ou prejudicialmente incompleta em detrimento de pessoa física ou 
jurídica.
Penal- detenção de 2 a 8 meses e pagamento de 1.500 
(mil e quinhentos) a 4.000 (quatro mil) dias-multa"
2123805;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2123805;PL;6928;2017;139;Projeto de Lei;Altera a Lei nº 12.965, de 23 de abril de 2014, que estabelece princípios, garantias, direitos e deveres para o uso da Internet no Brasil.;Trata da adoção da identificação de usuário na internet por meio da certificação digital.;Alteração, Marco Civil, critério, certificação digital, assinatura digital, autor, conteúdo, sítio (internet), responsabilidade civil,  provedor de hospedagem, crime, calúnia, difamação, injúria, ameaça, penalidade, Código Penal.;2017-02-15T17:15:00Z;https://dadosabertos.camara.leg.br/api/v2/orgaos/180;"NA";"NA";"NA";http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1525795;"NA";2017-04-06T00:00:00Z;20;"NA";4;MESA;https://dadosabertos.camara.leg.br/api/v2/orgaos/4;Ordinária (Art. 151, III, RICD);Devolução à CCP;1010;Retirado pelo Autor;950;Devolução à CCP;"NA";1;"Art. 8º-C A veiculação na internet ou disseminação de informações 
inverídicas ou de fatos verdadeiros truncados ou deturpados é suscetível de 
responsabilização por dano moral e patrimonial, sem prejuízo das 
imputações penais cabíveis"
2151560;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2151560;PL;8592;2017;139;Projeto de Lei;Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 - Código Penal, para tipificar a divulgação de informação falsa ou prejudicialmente incompleta.;"NA";Alteração, Código Penal, Crime contra a paz pública, tipicidade penal, divulgação de informação falsa, detenção.;2017-09-13T20:06:00Z;https://dadosabertos.camara.leg.br/api/v2/orgaos/180;"NA";https://dadosabertos.camara.leg.br/api/v2/proposicoes/2122678;"NA";http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1597578;"NA";2019-02-21T17:50:00Z;22;"NA";186;CCP;https://dadosabertos.camara.leg.br/api/v2/orgaos/186;Prioridade (Art. 151, II, RICD);Desarquivamento a Pedido;640;Tramitando em Conjunto;925;Devido a desarquivamento desta proposição em requerimento anterior, foi declarada prejudicada a solicitação de desarquivamento constante do REQ-68/2019.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1713296;1;"Divulgação de informação falsa
Art. 287-A Divulgar ou compartilhar, por qualquer meio de 
comunicação social capaz de atingir um número 
indeterminado de pessoas, informação falsa ou 
prejudicialmente incompleta, sabendo ou devendo saber 
que o são.
Pena – detenção, de um a dois anos.”
Art. 3º Esta Lei entra em vigor na data de sua publicação"
2167859;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2167859;PL;9532;2018;139;Projeto de Lei;"""Altera a Lei nº 4.737, de 15 de julho de 1965, que institui o Código Eleitoral, para dispor sobre as fake news e dá outras providências"".";"NA";Alteração, Código Eleitoral (1965), aumento, pena, crime eleitoral, produção, divulgação, Notícia falsa (fake news), propaganda eleitoral, partido político, candidato a cargo eletivo, agravação penal, imprensa, rede social, Aplicativo Whatsapp, Facebook.;2018-02-07T14:56:00Z;https://dadosabertos.camara.leg.br/api/v2/orgaos/180;"NA";https://dadosabertos.camara.leg.br/api/v2/proposicoes/296461;"NA";http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1639588;"NA";2019-02-22T18:27:00Z;35;"NA";2003;CCJC;https://dadosabertos.camara.leg.br/api/v2/orgaos/2003;Prioridade (Art. 151, II, RICD);Desarquivamento a Pedido;640;Tramitando em Conjunto;925;Devido a desarquivamento desta proposição em requerimento anterior, foi declarada prejudicada a solicitação de desarquivamento constante do REQ-207/2019.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1713630;1;"Art. 1º. Esta Lei altera a Lei nº 4.737, de 15 de julho de 1965, que institui o 
Código Eleitoral, para dispor sobre as fake news e dá outras providências."
2167860;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2167860;PL;9533;2018;139;Projeto de Lei;"""Altera a Lei nº 7.170, de 14 de dezembro de 1983, que define os crimes contra a segurança nacional, a ordem política e social, estabelece seu processo e julgamento e dá outras providências, para dispor sobre o incitamento através das redes sociais"".";"NA";Alteração, Lei de Segurança Nacional, aumento, pena, Crime contra a segurança nacional, Crime contra a ordem política e social, incitação à violência, propaganda, produção, divulgação, Notícia falsa (fake news), rede social,  Aplicativo Whatsapp, Facebook, circunstância agravante, agravação penal, depredação, destruição, patrimônio público.;2018-02-07T14:57:00Z;https://dadosabertos.camara.leg.br/api/v2/orgaos/180;"NA";https://dadosabertos.camara.leg.br/api/v2/proposicoes/2122678;"NA";http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1639589;"NA";2019-02-21T17:50:00Z;21;"NA";186;CCP;https://dadosabertos.camara.leg.br/api/v2/orgaos/186;Prioridade (Art. 151, II, RICD);Desarquivamento a Pedido;640;Tramitando em Conjunto;925;Devido a desarquivamento desta proposição em requerimento anterior, foi declarada prejudicada a solicitação de desarquivamento constante do REQ-68/2019.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1713296;1;"Art. 22-A. Participar nas tarefas de produção e divulgação de fake news, seja no 
formato de texto ou vídeo, com a finalidade de disseminar no whatsapp, facebook e/ou
nas redes sociais notícias falsas capazes de provocar atos de hostilidade e violência 
contra o governo.
Pena: reclusão, de 1 a 4 anos."
2167903;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2167903;PL;9554;2018;139;Projeto de Lei;Acrescenta artigo ao Decreto-Lei nº 2.848, de 7 de dezembro de 1940 - Código Penal, para tipificar o crime de divulgação de informação falsa - fakenews.;"NA";Alteração, Código Penal, crime contra a paz pública, tipicidade penal, divulgação de informação falsa, comunicação.;2018-02-07T18:39:00Z;https://dadosabertos.camara.leg.br/api/v2/orgaos/180;"NA";https://dadosabertos.camara.leg.br/api/v2/proposicoes/2122678;"NA";http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1640689;"NA";2019-02-21T17:50:00Z;22;"NA";186;CCP;https://dadosabertos.camara.leg.br/api/v2/orgaos/186;Prioridade (Art. 151, II, RICD);Desarquivamento a Pedido;640;Tramitando em Conjunto;925;Devido a desarquivamento desta proposição em requerimento anterior, foi declarada prejudicada a solicitação de desarquivamento constante do REQ-68/2019.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1713296;1;"Art. 287-A – Divulgar informação ou notícia que sabe 
ser falsa e que possa modificar ou desvirtuar a verdade com 
relação à saúde, segurança pública, economia ou processo 
eleitoral ou que afetem interesse público relevante.
Pena – detenção, de um a três anos, e multa, se o 
fato não constitui crime mais grave.
"
2168438;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2168438;PL;9626;2018;139;Projeto de Lei;Altera os artigos 323, 324, 325, 326 e 327 e acrescenta o artigo 356-A à Lei n.º 4.737, de 15 de julho de 1965 - Código Eleitoral, bem como altera os §§ 1.º e 2.º do artigo 57-H da Lei n.º 9.504, de 30 de setembro de 1997 - Lei das Eleições e acrescenta § 3.º ao mesmo dispositivo legal, para agravar as penas dos crimes eleitorais praticados por meio de veículos de comunicação.;"NA";Alteração, Código Eleitoral (1965), aumento, pena, multa,  crime eleitoral, informação falsa, Notícia falsa (fake news), prejuízo, partido político, Candidato a cargo eletivo, Pré-candidato a cargo eletivo, mídia, internet. _ Procedimento, apuração, crime eleitoral, internet. _ Alteração, Lei das Eleições (1997), Propaganda eleitoral, internet, difamação, honra, reputação, candidato a cargo eletivo, partido político, coligação partidária, aumento, pena, multa.;2018-02-27T16:41:00Z;https://dadosabertos.camara.leg.br/api/v2/orgaos/180;"NA";https://dadosabertos.camara.leg.br/api/v2/proposicoes/2167859;"NA";http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1641600;"NA";2019-10-03T16:21:00Z;26;"NA";2003;CCJC;https://dadosabertos.camara.leg.br/api/v2/orgaos/2003;Prioridade (Art. 151, II, RICD);Notificação de Apensação;504;Tramitando em Conjunto;925;Apense-se a este(a) o(a) PL-5003/2019.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1813898;1;"“Art. 323. Divulgar, publicar, compartilhar ou transmitir, na 
televisão, no rádio, na mídia impressa ou na internet, por 
qualquer forma, em relação a partidos políticos, candidatos ou 
pré-candidatos, fato que sabe ou que por suas características 
e circunstâncias deveria saber inverídicos e capaz de exercer 
influência perante o eleitorado ou afetar a opinião de eleitores 
sobre candidatos, pré-candidatos ou partidos políticos:
Pena - detenção de 1 a 4 anos e multa de R$ 50.000,00 a R$ 
1.000.000,00."
