id;siglaTipo;descricaoTipo;dataApresentacao;ano;ementa;urlInteiroTeor
2319389;EMP;Emenda de Plenário a Projeto com Urgência;2022-04-06;0;Institui a Lei Brasileira de Liberdade, Responsabilidade e Transparência na Internet.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2156124
15245;PL;Projeto de Lei;1991-03-12;1991;Cria o Certificado de Classificação para efeito indicativo de diversões e espetáculos públicos e de programas de rádio e televisão e dá outras providências;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=15527
2297792;EMP;Emenda de Plenário a Projeto com Urgência;2021-09-08;0;Acrescenta inciso ao Art. 531 do Projeto de Novo Código Eleitoral para tornar a obrigatória a participação em debates dos candidatos à Presidência da República, nos termos deste Projeto.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2069777
2297801;EMP;Emenda de Plenário a Projeto com Urgência;2021-09-08;0;Dispõe sobre as normas eleitorais e as normas processuais eleitorais;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2069803
2297568;EMP;Emenda de Plenário a Projeto com Urgência;2021-09-02;0;Altera o PLP 112/2021.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2068908
610564;PL;Projeto de Lei;2014-03-31;2014;Altera a Lei nº 12.232, de 29 de abril de 2010, que dispõe sobre contratação de serviços de publicidade pelo Poder Público, proibindo a veiculação de campanhas em veículos que contenham material de cunho erótico ou de oferta de prostituição;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1240371
2319450;EMP;Emenda de Plenário a Projeto com Urgência;2022-04-06;0;Institui a Lei Brasileira de Liberdade, Responsabilidade e Transparência na Internet.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2156320
2297415;EMP;Emenda de Plenário a Projeto com Urgência;2021-09-02;0;Dê-se ao art. 530 do substitutivo apresentado ao Projeto de Lei Complementar nº 112, de 2021, a seguinte redação.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2068355
2297525;EMP;Emenda de Plenário a Projeto com Urgência;2021-09-02;0;Institui o Código Eleitoral;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2068699
2297433;EMP;Emenda de Plenário a Projeto com Urgência;2021-09-02;0;Institui o Código Eleitoral.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2068669
2297895;EMP;Emenda de Plenário a Projeto com Urgência;2021-09-08;0;Institui o Código Eleitoral.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2070257
2227662;PRC;Projeto de Resolução de Alteração do Regimento e outros;2019-10-30;2019;Acrescenta o inciso XI ao art. 5º, altera o §1º e insere o § 1º-A ao art. 14 do Código de Ética e Decoro Parlamentar, para dispor sobre a advertência ou a suspensão temporária do exercício de mandato quando parlamentar efetuar gravação ambiental, sem conhecimento da outra parte, com o objetivo de posterior divulgação e exposição pública, causando danos à imagem e conduta de parlamentar ou do próprio Parlamento.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1828029
526856;PRC;Projeto de Resolução de Alteração do Regimento e outros;2011-11-09;2011;Acrescenta inciso ao art. 5º da Resolução nº 2, de 26 de maio de 2011, que modificou o Código de Ética e Decoro Parlamentar da Câmara dos Deputados.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=937440
2256710;PL;Projeto de Lei;2020-07-03;2020;Altera a Lei nº 12.965, de 23 de abril de 2014, para criar mecanismos de verificação de identidade dos perfis ativos em aplicações de internet que atuem como redes sociais e plataforma de registro de ocorrência policial na hipótese de crimes contra a honra cometidos ou divulgados em quaisquer modalidades das redes sociais da rede mundial de computadores e dá outras providências.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1909907
536706;PL;Projeto de Lei;2012-03-12;2012;Acrescenta parágrafos ao art. 20 da Lei nº 10.406, de 10 de janeiro de 2002 que dispõe sobre a proibição da utilização da imagem alheia sem prejuízo de indenização em caso de descumprimento, para incluir como presumido o dano moral sofrido pela vítima nesses casos, além de outras providências.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=969507
2197247;PL;Projeto de Lei;2019-04-09;2019;Acrescenta parágrafo ao art. 57-D, da Lei nº 9.504, de 30 de setembro de 1997 - Lei das Eleições, para manter os efeitos, findado o período eleitoral, das ordens judiciais de remoção de conteúdo da internet.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1730108
2297954;EMP;Emenda de Plenário a Projeto com Urgência;2021-09-09;0;Acrescenta o §5º ao Art. 75 do Projeto de Lei Complementar nº 112, de 2021 para que as fundações partidárias contem em seus quadros com profissionais formados em ciências sociais, ciência política e ciências econômicas.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2070523
2132797;PL;Projeto de Lei;2017-05-02;2017;Institui causa de aumento de pena àqueles que se utilizam de dispositivos de transmissão de dados que potencializam a divulgação de informações nos crimes contra a honra e no tipo penal de que trata o art. 66 do Código de Defesa do Consumidor.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1551257
2238121;PL;Projeto de Lei;2020-03-03;2020;Altera a Lei nº 12.965, de 23 de abril de 2014, condicionando a postagem de conteúdos nas redes sociais na internet ao fornecimento prévio, pelo usuário, de número telefônico ou endereço de correio eletrônico.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1861735
2298931;ERD;Emenda de Redação em Plenário;2021-09-15;0;Institui o Código Eleitoral.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2074172
2297947;EMP;Emenda de Plenário a Projeto com Urgência;2021-09-09;0;Institui o Código Eleitoral.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2070501
2319331;EMP;Emenda de Plenário a Projeto com Urgência;2022-04-05;0;Institui a Lei Brasileira de Liberdade, Responsabilidade e Transparência na Internet.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2155786
2239478;PL;Projeto de Lei;2020-03-18;2020;Insere o art. 339-A ao Decreto-Lei nº 2.848, de 7 de fevereiro de 1940, tipificando a conduta propagação de informações sabidamente falsas em relação a epidemias e pandemias que acometam a saúde pública nacional.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1867169
2318715;PL;Projeto de Lei;2022-03-25;2022;"Estabelece exigências e prescreve medidas para prevenção do uso indevido dos serviços de telecomunicações por aplicativos ""mobile"" ou aplicações ""web"", na exploração ou prestação dos serviços de redes sociais públicas e privadas construídas ou compartilhadas sobre redes virtuais, que se utilize de serviço de transmissão de dados e acesso remoto pela rede mundial de computadores por quaisquer de suas modalidades de conexão, de origem nacional ou estrangeira com disponibilidade, oferta ou usuário em território brasileiro; estabelece normas gerais de proteção aos direitos coletivos e individuais básicos e responsabilidades do usuário e fornecedores dos serviços de telecomunicação, de repressão ao uso ilícito dos serviços de telecomunicação pela internet; define crimes e dá outras providências.";http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2152701
2239046;PL;Projeto de Lei;2020-03-12;2020;Acrescenta o parágrafo 2º no art. 141 do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), para estabelecer o aumento do triplo da pena nos casos de crimes contra a honra praticados pela rede mundial de computadores (internet).;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1865713
2297939;EMP;Emenda de Plenário a Projeto com Urgência;2021-09-09;0;Institui o Código Eleitoral.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2070478
