id;siglaTipo;descricaoTipo;dataApresentacao;ano;ementa;urlInteiroTeor
2242374;PL;Projeto de Lei;2020-03-30;2020;Tipifica a divulgação de notícias falsas durante o período de calamidade pública, estado de defesa, estado sítio ou intervenção, tratando ainda do indiciamento e da indenização em tais casos, alterando o Decreto-Lei nº 2.848, de 7 de dezembro de 1940, Código Penal.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1871619
296461;PL;Projeto de Lei;2005-08-11;2005;Acrescenta inciso X e § 3º ao art. 243, e parágrafo único ao art. 332 da Lei nº 4.737, de 15 de Julho de 1965, tratando sobre propaganda enganosa no Código Eleitoral.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=330471
570564;PL;Projeto de Lei;2013-04-04;2013;Acrescenta o art. 8º-A à Lei nº 8.666, de 21 de junho de 1993, dispondo sobre a publicidade de contratos relativos à realização de obras públicas.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1073158
2297961;EMP;Emenda de Plenário a Projeto com Urgência;2021-09-09;0;Institui o Código Eleitoral.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2070545
2297901;EMP;Emenda de Plenário a Projeto com Urgência;2021-09-08;0;Dispõe sobre as normas eleitorais e as normas processuais eleitorais brasileiras.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2070279
510876;PL;Projeto de Lei;2011-06-30;2011;Dispõe sobre a divulgação de publicidade ou propaganda do Governo Federal, governos estaduais, prefeituras e de suas entidades da administração indireta em sítios de jornais e emissoras de radiodifusão na Internet.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=894796
2319434;EMP;Emenda de Plenário a Projeto com Urgência;2022-04-06;0;Dê-se ao art. 37, parágrafo único, inciso III, do Substitutivo ao PL nº 2630, de 2020, a seguinte redação.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2156252
2319377;EMP;Emenda de Plenário a Projeto com Urgência;2022-04-06;0;Suprima-se o parágrafo 2º do Artigo 2º do substitutivo do Dep. Orlando Silva ao PL nº 2630 de 2020.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2156068
2319424;EMP;Emenda de Plenário a Projeto com Urgência;2022-04-06;0;Institui a Lei Brasileira de Liberdade, Responsabilidade e Transparência na Internet;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2156225
2297932;EMP;Emenda de Plenário a Projeto com Urgência;2021-09-08;0;Institui o Código Eleitoral.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2070459
2319328;EMP;Emenda de Plenário a Projeto com Urgência;2022-04-05;0;Emenda ao PL 2630/2020.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2155774
