id;siglaTipo;descricaoTipo;dataApresentacao;ano;ementa;urlInteiroTeor
2297911;EMP;Emenda de Plenário a Projeto com Urgência;2021-09-08;0;Institui o Código Eleitoral;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2070317
2319387;EMP;Emenda de Plenário a Projeto com Urgência;2022-04-06;0;Institui a Lei Brasileira de Liberdade, Responsabilidade e Transparência na Internet.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2156117
2297554;SBT;Substitutivo;2021-09-02;0;;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2068855
2253320;PL;Projeto de Lei;2020-05-20;2020;Altera a Lei 1.079/1950 (Lei dos Crimes de Reponsabilidade) para punir condutas que coloquem em risco a saúde coletiva em detrimento do consenso científico.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1895991
2297455;EMP;Emenda de Plenário a Projeto com Urgência;2021-09-02;0;Emenda de Plenário - PLP 112-2021 - criminalização do caixa2;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2068475
2223000;PL;Projeto de Lei;2019-10-02;2019;Obriga a divulgação dos valores pagos na comunicação do Poder Executivo Federal.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1814821
2241665;PL;Projeto de Lei;2020-03-23;2020;Altera a Lei nº 12.965, de 23 de abril de 2014 (Marco Civil da Internet) e o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), para inibir práticas que induzam, instiguem ou auxiliem alguém à autolesão, à automutilação, ao suicídio, à exposição a situação de risco de vida, ou à exposição a situação de risco de contaminação por moléstia contagiosa.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1869834
2279657;PL;Projeto de Lei;2021-04-28;2021;Dispõe sobre a proteção de usuários de redes sociais em relação a pedofilia e violência contra a mulher.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2000744
502574;PRC;Projeto de Resolução de Alteração do Regimento e outros;2011-05-17;2011;Insere inciso VI ao art. 4º do Código de Ética e Decoro Parlamentar da Câmara dos Deputados para constituir como conduta incompatível com o decoro parlamentar a participação do Deputado em gerência ou administração de sociedade privada, personificada ou não personificada, a prestação de consultoria ou assessoria privada e o exercício do comércio, exceto na qualidade de acionista, cotista ou comanditário.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=873007
2297428;EMP;Emenda de Plenário a Projeto com Urgência;2021-09-02;0;Institui no Código Eleitoral;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2068401
2297910;EMP;Emenda de Plenário a Projeto com Urgência;2021-09-08;0;Institui o Código Eleitoral;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2070313
2319375;EMP;Emenda de Plenário a Projeto com Urgência;2022-04-06;0;Institui a Lei Brasileira de Liberdade, Responsabilidade e Transparência na Internet;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2156053
2319449;EMP;Emenda de Plenário a Projeto com Urgência;2022-04-06;0;Institui a Lei Brasileira de Liberdade, Responsabilidade e Transparência na Internet.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2156315
2297914;EMP;Emenda de Plenário a Projeto com Urgência;2021-09-08;0;Institui o Código Eleitoral;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2070331
2268968;PL;Projeto de Lei;2021-02-04;2021;Altera o Marco Civil da Internet para possibilitar a indisponibilização de conteúdo por provedor de aplicações de internet somente devido a ordem judicial.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1960304
2297798;EMP;Emenda de Plenário a Projeto com Urgência;2021-09-08;0;Acrescenta o §5º ao Art. 75 do Projeto de Lei Complementar nº 112, de 2021 para que as fundações partidárias contem em seus quadros com profissionais formados em ciências sociais, ciência política e ciências econômicas.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2069793
522552;PL;Projeto de Lei;2011-10-04;2011;Dispõe sobre a ação de resposta.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=926857
2297921;EMP;Emenda de Plenário a Projeto com Urgência;2021-09-08;0;Acrescenta o §5º ao Art. 75 do Projeto de Lei Complementar nº 112, de 2021 para que as fundações partidárias contem em seus quadros com profissionais formados em ciências sociais, ciência política e ciências econômicas.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2070359
251286;PL;Projeto de Lei;2004-05-04;2004;"Acrescenta o art. 323-A à Lei nº 4.737, de 15 de julho de 1965, que ""Institui o Código Eleitoral"".";http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=214977
2319393;EMP;Emenda de Plenário a Projeto com Urgência;2022-04-06;0;Dispõe sobre o substitutivo do Dep. Orlando Silva ao PL nº 2630 de 2020, que Institui a Lei Brasileira de Liberdade, Responsabilidade e Transparência na Internet.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2156135
606681;PL;Projeto de Lei;2014-02-20;2014;Altera o art. 143 do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 - Código Penal.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1230568
2297933;EMP;Emenda de Plenário a Projeto com Urgência;2021-09-09;0;Institui o Código Eleitoral.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2070462
2298046;EMP;Emenda de Plenário a Projeto com Urgência;2021-09-09;0;Dispõe sobre as normas eleitorais e as normas processuais eleitorais brasileiras.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2070808
550814;PL;Projeto de Lei;2012-07-05;2012;Dispõe sobre a publicidade de atos, programas, obras, serviços e campanhas de pessoas jurídicas da União.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1010311
2256518;PL;Projeto de Lei;2020-06-30;2020;Altera o Marco Civil da Internet para proibir a retirada de conteúdos pelas aplicações de internet nos casos em que especifica.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1908998
1598685;SBT;Substitutivo;2015-08-06;0;"SUBSTITUTIVO AOS PROJETOS DE LEI 
NoS 215, 1.547 E 1.589, DE 2015
Estabelece causa de aumento de pena para o crime praticado por meio de aplicação de internet ou de dispositivo de informática ou telemática, e para o crime contra a honra ensejar a prática de ato que ocasione a morte da vítima, e dá outras providências.";http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1367703
26845;PL;Projeto de Lei;2001-03-20;2001;Estabelece normas sobre a publicidade e a propaganda dos atos do Poder Executivo e dá outras providências.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=245
20411;PL;Projeto de Lei;2000-12-06;2000;Disciplina a publicidade e propaganda dos Poderes Executivos, Legislativos e Judiciário, e entidades da administração indireta.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=30851
2261313;PL;Projeto de Lei;2020-09-01;2020;Institui o Direito ao Esquecimento Penal.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1926586
1712370;PL;Projeto de Lei;2015-09-03;2015;Acrescenta artigo à Lei nº 12.232, de 29 de abril de 2010, para proibir a contratação de serviços de publicidade por empresas estatais e sociedades de economia mista, quando estas possuírem posição dominante em mercados relevantes.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1381226
2297565;EMP;Emenda de Plenário a Projeto com Urgência;2021-09-02;0;Dispõe sobre as normas eleitorais e as normas processuais eleitorais brasileiras.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2068896
2298050;EMP;Emenda de Plenário a Projeto com Urgência;2021-09-09;0;Institui o Código Eleitoral.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2070821
2190912;PL;Projeto de Lei;2019-02-04;2019;"Altera a Lei nº 12.965, de 23 de abril de 2014, que ""estabelece princípios, direitos e deveres para o uso da Internet no Brasil"", para prever o direito ao esquecimento.";http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1707273
2208372;PL;Projeto de Lei;2019-06-17;2019;Regulamenta o desenvolvimento e execução das ações de comunicação da União.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1765716
565930;PL;Projeto de Lei;2013-02-28;2013;Acrescenta o art. 4º-A na Lei nº 12.232, de 29 de abril de 2010.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1061256
617192;PL;Projeto de Lei;2014-05-27;2014;Disciplina a publicidade institucional dos órgãos e entidades da União, Estados, Distrito Federal e Municípios, vedando as ações de governos restringindo-a a campanhas de utilidade pública;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1257044
2297919;EMP;Emenda de Plenário a Projeto com Urgência;2021-09-08;0;Acrescenta inciso ao Art. 531 do Projeto de Novo Código Eleitoral para tornar a obrigatória a participação em debates dos candidatos à Presidência da República, nos termos deste Projeto.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2070351
2297903;EMP;Emenda de Plenário a Projeto com Urgência;2021-09-08;0;Dispõe sobre as normas eleitorais e as normas processuais eleitorais brasileiras.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2070288
2297923;EMP;Emenda de Plenário a Projeto com Urgência;2021-09-08;0;Dispõe sobre as normas eleitorais e as normas processuais eleitorais brasileiras.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2070367
2297560;EMP;Emenda de Plenário a Projeto com Urgência;2021-09-02;0;Institui o Código Eleitoral.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2068876
2297930;EMP;Emenda de Plenário a Projeto com Urgência;2021-09-08;0;Dispõe sobre as normas eleitorais e as normas processuais eleitorais brasileiras.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2070453
2297918;EMP;Emenda de Plenário a Projeto com Urgência;2021-09-08;0;Dispõe sobre as normas eleitorais e as normas processuais eleitorais brasileiras.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2070347
2297912;EMP;Emenda de Plenário a Projeto com Urgência;2021-09-08;0;Institui o Código Eleitoral.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2070321
614214;EMP;Emenda de Plenário;2014-05-06;2014;;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1250812
2297450;EMP;Emenda de Plenário a Projeto com Urgência;2021-09-02;0;Emenda de Plenário - PLP 112-2021 - Disciplinar o rito da ação de investigação judicial eleitoral (AIJE) e ação de impugnação de mandato eletivo (AIME);http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2068459
2297966;EMP;Emenda de Plenário a Projeto com Urgência;2021-09-09;0;Institui o Código Eleitoral.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2070559
2297896;EMP;Emenda de Plenário a Projeto com Urgência;2021-09-08;0;Institui o Código Eleitoral.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2070261
1672348;PL;Projeto de Lei;2015-08-19;2015;Modifica a Lei nº 12.965, de 23 de abril de 2014, obrigando os provedores de aplicações de internet a remover, por solicitação do interessado, referências a registros sobre sua pessoa na internet, nas condições que especifica.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1374249
2254229;PL;Projeto de Lei;2020-06-01;2020;Altera a Lei Nº 12.965, de 23 de abril de 2014 (Marco Civil da Internet), e a Lei Nº 13.709, de 14 de agosto de 2018 (Lei Geral de Proteção de Dados), com a finalidade de estabelecer regras para a utilização de pseudônimos e perfis anônimos na Internet.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1899702
2227742;PL;Projeto de Lei;2019-10-30;2019;Acrescenta o art. 21-A à Lei nº 10.406, de 10 de janeiro de 2002(Código Civil), para incluir o direito ao esquecimento.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1828276
1630410;SBT;Substitutivo;2015-08-13;0;Acrescenta inciso V ao art. 141 do Decreto-Lei nº 2.848, de 7 de dezembro de 1940.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1370816
2237042;PL;Projeto de Lei;2020-02-12;2020;Dispõe sobre o rito sumário para a retirada de conteúdos ilegais de redes sociais.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1857645
2083801;PL;Projeto de Lei;2016-05-10;2016;"Altera a Lei nº 12.527, de 18 de novembro de 2011, que ""Regula o acesso a informações previsto no inciso XXXIII do art. 5º, no inciso II do § 3º do art. 37 e no § 2º do art. 216 da Constituição Federal; altera a Lei nº 8.112, de 11 de dezembro de 1990; revoga a Lei nº 11.111, de 5 de maio de 2005, e dispositivos da Lei nº 8.159, de 8 de janeiro de 1991; e dá outras providências. """;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1456267
