id;siglaTipo;descricaoTipo;dataApresentacao;ano;ementa;urlInteiroTeor;Fake_news
2319389;EMP;Emenda de Plenário a Projeto com Urgência;2022-04-06;0;Institui a Lei Brasileira de Liberdade, Responsabilidade e Transparência na Internet.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2156124;1
2318715;PL;Projeto de Lei;2022-03-25;2022;"Estabelece exigências e prescreve medidas para prevenção do uso indevido dos serviços de telecomunicações por aplicativos ""mobile"" ou aplicações ""web"", na exploração ou prestação dos serviços de redes sociais públicas e privadas construídas ou compartilhadas sobre redes virtuais, que se utilize de serviço de transmissão de dados e acesso remoto pela rede mundial de computadores por quaisquer de suas modalidades de conexão, de origem nacional ou estrangeira com disponibilidade, oferta ou usuário em território brasileiro; estabelece normas gerais de proteção aos direitos coletivos e individuais básicos e responsabilidades do usuário e fornecedores dos serviços de telecomunicação, de repressão ao uso ilícito dos serviços de telecomunicação pela internet; define crimes e dá outras providências.";http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2152701;0
510876;PL;Projeto de Lei;2011-06-30;2011;Dispõe sobre a divulgação de publicidade ou propaganda do Governo Federal, governos estaduais, prefeituras e de suas entidades da administração indireta em sítios de jornais e emissoras de radiodifusão na Internet.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=894796;0
2319377;EMP;Emenda de Plenário a Projeto com Urgência;2022-04-06;0;Suprima-se o parágrafo 2º do Artigo 2º do substitutivo do Dep. Orlando Silva ao PL nº 2630 de 2020.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2156068;1
2319424;EMP;Emenda de Plenário a Projeto com Urgência;2022-04-06;0;Institui a Lei Brasileira de Liberdade, Responsabilidade e Transparência na Internet;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2156225;1
2319328;EMP;Emenda de Plenário a Projeto com Urgência;2022-04-05;0;Emenda ao PL 2630/2020.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2155774;1
2319444;EMP;Emenda de Plenário a Projeto com Urgência;2022-04-06;0;Institui a Lei Brasileira de Liberdade, Responsabilidade e Transparência na Internet.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2156291;1
2122910;PL;Projeto de Lei;2017-02-07;2017;Estabelece limites aos gastos com publicidade de órgãos e entidades públicas, restringindo seu objeto e dá outras providências.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1523575;0
2297957;EMP;Emenda de Plenário a Projeto com Urgência;2021-09-09;0;Institui o Código Eleitoral.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2070534;0
2241665;PL;Projeto de Lei;2020-03-23;2020;Altera a Lei nº 12.965, de 23 de abril de 2014 (Marco Civil da Internet) e o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), para inibir práticas que induzam, instiguem ou auxiliem alguém à autolesão, à automutilação, ao suicídio, à exposição a situação de risco de vida, ou à exposição a situação de risco de contaminação por moléstia contagiosa.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1869834;0
2319375;EMP;Emenda de Plenário a Projeto com Urgência;2022-04-06;0;Institui a Lei Brasileira de Liberdade, Responsabilidade e Transparência na Internet;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2156053;1
2319326;EMP;Emenda de Plenário a Projeto com Urgência;2022-04-05;0;Emenda ao PL 2630/2020.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2155766;1
