title;year;type;link;Fake_news
PL 2922/2020;2020;PL;https://www.congressonacional.leg.br/materias/materias-bicamerais/-/ver/pl-2922-2020;1
PL 2922/2020 (SF);2020;PL;https://www25.senado.leg.br/web/atividade/materias/-/materia/142129;99
PLS 246/2018;2018;PLS;https://www.congressonacional.leg.br/materias/materias-bicamerais/-/ver/pls-246-2018;1
PLS 246/2018 (SF);2018;PLS;https://www25.senado.leg.br/web/atividade/materias/-/materia/133353;99
PL 3683/2020;2020;PL;https://www.congressonacional.leg.br/materias/materias-bicamerais/-/ver/pl-3683-2020;1
PL 3683/2020 (SF);2020;PL;https://www25.senado.leg.br/web/atividade/materias/-/materia/143264;99
PL 632/2020;2020;PL;https://www.congressonacional.leg.br/materias/materias-bicamerais/-/ver/pl-632-2020;1
PL 632/2020 (SF);2020;PL;https://www25.senado.leg.br/web/atividade/materias/-/materia/141090;99
PL 4975/2019;2019;PL;https://www.congressonacional.leg.br/materias/materias-bicamerais/-/ver/pl-4975-2019;1
PL 4975/2019 (SF);2019;PL;https://www25.senado.leg.br/web/atividade/materias/-/materia/138675;99
PL 2630/2020;2020;PL;https://www.congressonacional.leg.br/materias/materias-bicamerais/-/ver/pl-2630-2020;1
PL 2630/2020 (SF);2020;PL;https://www25.senado.leg.br/web/atividade/materias/-/materia/141944;99
SUG 62/2017;2017;SUG;https://www25.senado.leg.br/web/atividade/materias/-/materia/131930;1
MPV 1068/2021;2021;MPV;https://www25.senado.leg.br/web/atividade/materias/-/materia/149726;1
