id;siglaTipo;descricaoTipo;dataApresentacao;ano;ementa;urlInteiroTeor
2123805;PL;Projeto de Lei;2017-02-15;2017;Altera a Lei nº 12.965, de 23 de abril de 2014, que estabelece princípios, garantias, direitos e deveres para o uso da Internet no Brasil.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1525795
2151560;PL;Projeto de Lei;2017-09-13;2017;Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 - Código Penal, para tipificar a divulgação de informação falsa ou prejudicialmente incompleta.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1597578
2167859;PL;Projeto de Lei;2018-02-07;2018;"""Altera a Lei nº 4.737, de 15 de julho de 1965, que institui o Código Eleitoral, para dispor sobre as fake news e dá outras providências"".";http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1639588
2167860;PL;Projeto de Lei;2018-02-07;2018;"""Altera a Lei nº 7.170, de 14 de dezembro de 1983, que define os crimes contra a segurança nacional, a ordem política e social, estabelece seu processo e julgamento e dá outras providências, para dispor sobre o incitamento através das redes sociais"".";http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1639589
2167903;PL;Projeto de Lei;2018-02-07;2018;Acrescenta artigo ao Decreto-Lei nº 2.848, de 7 de dezembro de 1940 - Código Penal, para tipificar o crime de divulgação de informação falsa - fakenews.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1640689
2169225;PL;Projeto de Lei;2018-03-13;2018;Tipifica criminalmente a conduta de quem cria, veicula, compartilha, ou não remove, em meios eletrônicos, notícias ou informações que sabe ser falsas.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1643837
2170450;PL;Projeto de Lei;2018-03-27;2018;Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 - Código Penal, para tipificar a divulgação de informação falsa.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1647666
2170681;PL;Projeto de Lei;2018-04-03;2018;Tipifica o crime de divulgação de notícias ou informações falsas.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1648336
2171207;PL;Projeto de Lei;2018-04-10;2018;Altera a Lei n° 4.737, de 15 de julho de 1965 (Código Eleitoral) e a Lei n° 9.504, de 30 de setembro de 1997 para tipificar a divulgação de fatos sabidamente inverídicos no ano eleitoral e dá outras providências.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1649862
2186868;PL;Projeto de Lei;2018-11-20;2018;Altera dispositivos da Lei nº 4.737, de 15 de julho de 1965, que institui o Código Eleitoral, para aperfeiçoar a tipificação do crime eleitoral de divulgação de fatos sabidamente inverídicos (notícias falsas).;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1693548
2190714;PL;Projeto de Lei;2019-02-04;2019;Dispõe sobre a tipificação criminal da divulgação ou compartilhamento de informação falsa ou incompleta na rede mundial de computadores e dá outras providências.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1706999
2199770;PL;Projeto de Lei;2019-05-02;2019;Altera a Lei nº 12.965, de 23 de abril de 2014, para criar obrigação de indisponibilização de notícias falsas por provedores de aplicações de internet e dá outras providências.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1739949
2208388;PRC;Projeto de Resolução de Alteração do Regimento e outros;2019-06-17;2019;Define como ato atentatório ao decoro parlamentar a utilização da rede mundial de computadores para em desacordo com princípios éticos.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1765742
2210372;PL;Projeto de Lei;2019-07-02;2019;Tipifica criminalmente a conduta, de pais ou responsáveis, de omissão ou de contraposição à vacinação de crianças ou adolescentes, incluindo artigo no Decreto-Lei nº 2.848, de 7 de dezembro de 1940, Código Penal.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1772934
2227001;PL;Projeto de Lei;2019-10-24;2019;Torna crime a disseminação de informações falsas sobre vacina, alterando o Decreto-Lei nº 2.848, de 7 de dezembro de 1940, Código Penal.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1825899
2229508;SBT;Substitutivo;2019-11-12;2019;Tipifica criminalmente a conduta, de pais ou responsáveis, de omissão ou de contraposição à vacinação de crianças ou adolescentes, incluindo artigo no Decreto-Lei nº 2.848, de 7 de dezembro de 1940, Código Penal.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1833849
2239459;PL;Projeto de Lei;2020-03-18;2020;Dispõe sobre a responsabilidade sanitária da conduta das autoridades públicas, tipifica o crime de divulgação ou compartilhamento de informação falsas que atentem contra a segurança sanitária e dá outras providências.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1867119
2242661;PL;Projeto de Lei;2020-04-01;2020;Tipifica, no art. 287-A ao Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), a criação e a propagação, por qualquer meio, de informação falsa referente à saúde pública ou à segurança pública.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1872390
2242713;PL;Projeto de Lei;2020-04-01;2020;Institui a Lei Brasileira de Liberdade, Responsabilidade e Transparência na Internet.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1872575
2249314;PL;Projeto de Lei;2020-04-15;2020;Estabelece multa como penalidade para quem dolosamente divulgar por meios eletrônicos, telemáticos, digital, escrito, televisivo ou rádio difusão notícias falsas (fake news) sobre epidemias, pandemias, ou eventos sociais que caracterizem tragédias ou calamidade pública no território nacional.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1882992
2250639;PL;Projeto de Lei;2020-04-27;2020;Considera-se crime a divulgação de notícias falsas, publicadas por meio eletrônico e dá outras providências.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1886822
2251491;PL;Projeto de Lei;2020-05-05;2020;Dispõe sobre a tipificação do crime de criação e divulgação de notícias falsas - Fake News sobre a pandemia do Coronavírus - Covid - 19 acrescentando o art. 140-A ao do Decreto-Lei nº 2.848, de 7 de dezembro de 1940, Código Penal e dá outras providências.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1889795
2253608;PL;Projeto de Lei;2020-05-25;2020;Institui medidas contra a disseminação de conteúdo de ódio e preconceito pela internet, bem como a disseminação de informações a respeito de tratamentos de saúde que não sejam cientificamente validados e aceitos pelo Sistema Único de Saúde ou pela Organização Mundial de Saúde e dá outras providências.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1899386
2254374;PL;Projeto de Lei;2020-06-03;2020;Estabelece normas de transparência, educação e ampla informação para o combate à desinformação no país.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1900252
2254529;PL;Projeto de Lei;2020-06-04;2020;Institui multa por confecção e divulgação de notícias falsas (fake news) sobre a pandemia de covid-19.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1900802
2254585;PL;Projeto de Lei;2020-06-04;2020;Estabelece normas de transparência, educação, formação do pensamento crítico e ampla informação para o combate à desinformação no país.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1901033
2254886;PL;Projeto de Lei;2020-06-09;2020;Altera a Lei nº 12.232, de 29 de abril de 2010, para vedar o patrocínio, a publicidade institucional, de utilidade pública e mercadológica da União em provedores de aplicações que promovam desinformação ou divulguem notícias falsas.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1902405
2254888;PL;Projeto de Lei;2020-06-09;2020;Altera a Lei nº 8.666, de 21 de junho de 1993, para estender a aplicação da pena de que tratam os incisos III e IV do caput de seu art. 87 aos casos que especifica.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1902409
2255165;PL;Projeto de Lei;2020-06-15;2020;“Proíbe a utilização de qualquer tipo de acesso a internet da administração pública para a veiculação de notícias falsas e dá outras providências”;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1903783
2255166;PL;Projeto de Lei;2020-06-15;2020;“Dispõe sobre os danos causados pela publicação de noticia falsa e dá outras providências”;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1903785
2259158;PL;Projeto de Lei;2020-08-03;2020;Altera a Lei nº 12.232, de 29 de abril de 2020, para impedir a veiculação de publicidade de órgãos públicos em veículos de comunicação que propaguem notícias falsas (fake news).;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1918441
2265119;PL;Projeto de Lei;2020-11-10;2020;Cria mecanismos para coibir a violência e a discriminação política contra a mulher e dá outras providências.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1941371
2267542;PL;Projeto de Lei;2020-12-17;2020;Estabelece obrigatoriedade as plataformas de redes sociais para que instituam e mantenham mecanismos de controle de conteúdo.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1953329
2268764;PL;Projeto de Lei;2021-02-03;2021;Acrescenta o art. 285-A ao Decreto-Lei n.º 2.848, de 7 de dezembro de 1940 (Código Penal), para tornar crime a conduta de disseminação de notícias falsas, sem a identificação de dados científicos claros e fontes seguras da informação, sobre a eficácia, importância e segurança das vacinas.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1959817
2268795;PL;Projeto de Lei;2021-02-03;2021;Altera a Lei nº 12.965, de 23 de abril de 2014, para dispor sobre os verificadores de fatos.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1959879
2269002;PL;Projeto de Lei;2021-02-04;2021;Altera a Lei nº 12.965, de 23 de abril de 2014, para dispor sobre os verificadores de fatos.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1960401
